episode,score,epsilon,steps,alpha,end_reason
444,0,0.7363766349615184,7,0.01,crash
445,1,0.7358681396510491,111,0.01,crash
446,0,0.7353599954754048,9,0.01,crash
447,0,0.7348522021921137,12,0.01,crash
448,2,0.7343447595588718,18,0.01,crash
449,1,0.7338376673335422,55,0.01,crash
450,0,0.7333309252741552,15,0.01,crash
451,0,0.7328245331389085,18,0.01,crash
452,1,0.7323184906861663,25,0.01,crash
453,2,0.73181279767446,41,0.01,crash
454,1,0.7313074538624875,12,0.01,crash
455,1,0.7308024590091137,14,0.01,crash
456,0,0.7302978128733696,19,0.01,crash
457,1,0.7297935152144529,78,0.01,crash
458,2,0.7292895657917274,74,0.01,crash
459,0,0.7287859643647231,8,0.01,crash
460,0,0.7282827106931361,49,0.01,crash
461,1,0.7277798045368284,24,0.01,crash
462,2,0.7272772456558279,40,0.01,crash
463,1,0.726775033810328,13,0.01,crash
464,0,0.726273168760688,7,0.01,crash
465,0,0.7257716502674325,38,0.01,crash
466,1,0.7252704780912514,21,0.01,crash
467,1,0.7247696519930001,32,0.01,crash
468,0,0.724269171733699,10,0.01,crash
469,0,0.7237690370745333,72,0.01,crash
470,1,0.7232692477768535,33,0.01,crash
471,1,0.7227698036021747,18,0.01,crash
472,2,0.7222707043121765,61,0.01,crash
473,0,0.7217719496687036,12,0.01,crash
474,0,0.7212735394337646,8,0.01,crash
475,2,0.7207754733695326,47,0.01,crash
476,0,0.7202777512383453,29,0.01,crash
477,1,0.7197803728027039,25,0.01,crash
478,0,0.719283337825274,12,0.01,crash
479,1,0.718786646068885,49,0.01,crash
480,0,0.7182902972965302,10,0.01,crash
481,1,0.7177942912713662,17,0.01,crash
482,0,0.7172986277567136,8,0.01,crash
483,1,0.7168033065160562,12,0.01,crash
484,0,0.716308327313041,16,0.01,crash
485,0,0.7158136899114784,8,0.01,crash
486,0,0.715319394075342,13,0.01,crash
487,1,0.714825439568768,19,0.01,crash
488,0,0.7143318261560558,12,0.01,crash
489,0,0.7138385536016676,21,0.01,crash
490,1,0.713345621670228,27,0.01,crash
491,1,0.7128530301265242,11,0.01,crash
492,0,0.712360778735506,8,0.01,crash
493,0,0.7118688672622853,10,0.01,crash
494,0,0.7113772954721362,11,0.01,crash
495,0,0.7108860631304952,6,0.01,crash
496,0,0.7103951700029604,11,0.01,crash
497,1,0.709904615855292,31,0.01,crash
498,3,0.7094144004534118,46,0.01,crash
499,0,0.7089245235634032,20,0.01,crash
500,0,0.7084349849515114,20,0.01,crash
501,1,0.7079457843841427,27,0.01,crash
502,0,0.707456921627865,52,0.01,crash
503,0,0.7069683964494071,8,0.01,crash
504,1,0.7064802086156592,38,0.01,crash
505,1,0.7059923578936721,7,0.01,crash
506,1,0.7055048440506577,10,0.01,crash
507,0,0.7050176668539887,16,0.01,crash
508,1,0.7045308260711983,31,0.01,crash
509,0,0.7040443214699803,23,0.01,crash
510,0,0.7035581528181888,14,0.01,crash
511,1,0.7030723198838383,8,0.01,crash
512,0,0.7025868224351036,14,0.01,crash
513,3,0.7021016602403194,65,0.01,crash
514,0,0.7016168330679804,12,0.01,crash
515,0,0.7011323406867412,11,0.01,crash
516,2,0.7006481828654163,17,0.01,crash
517,0,0.7001643593729796,19,0.01,crash
518,0,0.6996808699785646,55,0.01,crash
519,1,0.6991977144514644,16,0.01,crash
520,0,0.6987148925611311,72,0.01,crash
521,0,0.6982324040771762,38,0.01,crash
522,1,0.6977502487693704,23,0.01,crash
523,1,0.6972684264076431,34,0.01,crash
524,0,0.6967869367620827,25,0.01,crash
525,0,0.6963057796029365,36,0.01,crash
526,0,0.6958249547006102,12,0.01,crash
527,1,0.6953444618256682,32,0.01,crash
528,0,0.6948643007488334,15,0.01,crash
529,3,0.6943844712409869,14,0.01,crash
530,0,0.693904973073168,10,0.01,crash
531,0,0.6934258060165741,12,0.01,crash
532,0,0.6929469698425608,15,0.01,crash
533,0,0.6924684643226413,28,0.01,crash
534,0,0.6919902892284868,22,0.01,crash
535,0,0.691512444331926,21,0.01,crash
536,0,0.6910349294049454,12,0.01,crash
537,2,0.6905577442196886,71,0.01,crash
538,3,0.690080888548457,39,0.01,crash
539,1,0.6896043621637087,24,0.01,crash
540,1,0.6891281648380593,18,0.01,crash
541,0,0.6886522963442813,11,0.01,crash
542,2,0.6881767564553042,51,0.01,crash
543,1,0.6877015449442141,19,0.01,crash
544,0,0.687226661584254,41,0.01,crash
545,1,0.6867521061488235,44,0.01,crash
546,0,0.6862778784114785,18,0.01,crash
547,0,0.6858039781459313,9,0.01,crash
548,1,0.6853304051260506,59,0.01,crash
549,0,0.684857159125861,17,0.01,crash
550,1,0.6843842399195434,15,0.01,crash
551,0,0.6839116472814346,11,0.01,crash
552,0,0.6834393809860271,9,0.01,crash
553,1,0.6829674408079692,17,0.01,crash
554,1,0.6824958265220649,24,0.01,crash
555,0,0.6820245379032734,13,0.01,crash
556,0,0.6815535747267097,16,0.01,crash
557,0,0.6810829367676439,28,0.01,crash
558,0,0.6806126238015011,26,0.01,crash
559,0,0.6801426356038618,16,0.01,crash
560,1,0.6796729719504613,15,0.01,crash
561,0,0.6792036326171899,14,0.01,crash
562,1,0.6787346173800923,101,0.01,crash
563,0,0.6782659260153684,49,0.01,crash
564,2,0.6777975582993722,16,0.01,crash
565,0,0.6773295140086122,30,0.01,crash
566,0,0.6768617929197515,13,0.01,crash
567,0,0.6763943948096071,21,0.01,crash
568,1,0.6759273194551503,24,0.01,crash
569,0,0.6754605666335063,29,0.01,crash
570,0,0.6749941361219542,35,0.01,crash
571,3,0.6745280276979272,120,0.01,crash
572,0,0.6740622411390117,29,0.01,crash
573,0,0.6735967762229481,218,0.01,crash
574,0,0.67313163272763,14,0.01,crash
575,3,0.6726668104311045,88,0.01,crash
576,1,0.6722023091115721,44,0.01,crash
577,0,0.671738128547386,39,0.01,crash
578,0,0.6712742685170531,14,0.01,crash
579,0,0.6708107287992326,10,0.01,crash
580,0,0.6703475091727372,11,0.01,crash
581,2,0.6698846094165317,44,0.01,crash
582,1,0.669422029309734,28,0.01,crash
583,3,0.6689597686316143,26,0.01,crash
584,0,0.6684978271615953,28,0.01,crash
585,1,0.6680362046792521,29,0.01,crash
586,2,0.6675749009643116,126,0.01,crash
587,0,0.6671139157966534,26,0.01,crash
588,1,0.6666532489563086,37,0.01,crash
589,1,0.6661929002234607,29,0.01,crash
590,0,0.6657328693784444,16,0.01,crash
591,1,0.6652731562017467,40,0.01,crash
592,0,0.6648137604740055,57,0.01,crash
593,1,0.6643546819760109,25,0.01,crash
594,0,0.6638959204887038,13,0.01,crash
595,0,0.6634374757931768,15,0.01,crash
596,0,0.6629793476706732,14,0.01,crash
597,1,0.6625215359025879,8,0.01,crash
598,0,0.6620640402704662,23,0.01,crash
599,1,0.6616068605560046,47,0.01,crash
600,0,0.6611499965410503,21,0.01,crash
601,1,0.6606934480076012,69,0.01,crash
602,0,0.6602372147378055,7,0.01,crash
603,0,0.6597812965139621,67,0.01,crash
604,0,0.6593256931185201,7,0.01,crash
605,0,0.6588704043340787,14,0.01,crash
606,0,0.6584154299433875,17,0.01,crash
607,1,0.6579607697293459,31,0.01,crash
608,1,0.6575064234750034,20,0.01,crash
609,0,0.6570523909635592,23,0.01,crash
610,2,0.6565986719783621,39,0.01,crash
611,2,0.6561452663029107,27,0.01,crash
612,0,0.6556921737208531,7,0.01,crash
613,3,0.6552393940159866,55,0.01,crash
614,1,0.654786926972258,39,0.01,crash
615,1,0.6543347723737633,19,0.01,crash
616,2,0.6538829300047473,19,0.01,crash
617,1,0.6534313996496041,20,0.01,crash
618,0,0.6529801810928766,65,0.01,crash
619,0,0.6525292741192564,8,0.01,crash
620,0,0.6520786785135839,8,0.01,crash
621,1,0.651628394060848,23,0.01,crash
622,1,0.6511784205461861,22,0.01,crash
623,0,0.6507287577548839,12,0.01,crash
624,2,0.6502794054723755,38,0.01,crash
625,4,0.6498303634842431,107,0.01,crash
626,0,0.6493816315762168,6,0.01,crash
627,1,0.6489332095341749,12,0.01,crash
628,0,0.6484850971441435,8,0.01,crash
629,2,0.6480372941922964,76,0.01,crash
630,2,0.6475898004649551,15,0.01,crash
631,0,0.6471426157485887,15,0.01,crash
632,1,0.6466957398298135,14,0.01,crash
633,2,0.6462491724953936,21,0.01,crash
634,1,0.6458029135322398,21,0.01,crash
635,0,0.6453569627274106,6,0.01,crash
